agency_cd	site_no	datetime	tz_cd	151730_00060	151730_00060_cd	151733_00010	151733_00010_cd
USGS	12447200	2020-03-04 17:30	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 17:45	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 18:00	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 18:15	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 18:30	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 18:45	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 19:00	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 19:15	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 19:30	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 19:45	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 20:00	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 20:15	PST	2040	A	5.8	A
USGS	12447200	2020-03-04 20:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 20:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 21:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 21:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 21:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 21:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 22:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 22:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 22:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 22:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 23:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 23:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 23:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-04 23:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 00:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 00:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 00:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 00:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 01:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 01:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 01:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 01:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 02:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 02:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 02:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 02:45	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 03:00	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 03:15	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 03:30	PST	2030	A	5.8	A
USGS	12447200	2020-03-05 03:45	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 04:00	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 04:15	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 04:30	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 04:45	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 05:00	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 05:15	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 05:30	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 05:45	PST	2040	A	5.8	A
USGS	12447200	2020-03-05 06:00	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 06:15	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 06:30	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 06:45	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 07:00	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 07:15	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 07:30	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 07:45	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 08:00	PST	2040	A	5.7	A
USGS	12447200	2020-03-05 08:15	PST	2040	A	5.7	A
